Task,Difficulty,Problem Statement,Patterns,Hints,Last Revised Date,Notes
NumberOfPaths,Medium,Count number of paths from top-left to bottom-right in a grid.,"Dynamic Programming, Combinatorics, Grid Traversal","DP State: dp[i][j] is the number of ways to reach cell (i,j). Recurrence: dp[i][j]=dp[i−1][j]+dp[i][j−1]. Alternatively, this is a simple combinatorics problem: (m−1m+n−2​) or (n−1m+n−2​) (choosing m−1 'Down' moves from a total of m+n−2 moves).",,Easy to come up with the approach. Came up with iterative appraoch and added it also to solution
Combinations,Hard,"Return all possible combinations of k numbers chosen from the range [1, n]","Backtracking, Recursion, Combinatorics","Build combinations one number at a time using backtracking. Always move forward (use a start pointer) to avoid duplicates, and prune early when remaining numbers can't complete the target size",,
CombinationSum,Medium,Find all unique combinations that sum to a target. (Each number can be used multiple time),"Backtracking, Recursion","Use Backtracking/DFS. The key is that elements can be reused. In the recursive call, if an element candidates[i] is used, the next call can still use candidates[i] (by passing i as the starting index).",,Can come up with approach and corrected the solution
CombinationSum2,Hard,Find all unique combinations that sum to target (each number used once).,"Backtracking, Recursion, Duplicate Handling","Use Backtracking/DFS. The key is that elements are unique for each combination (i.e., cannot be reused) and there are duplicates in the input array. Sort the array and use a check: if index>start and candidates[index]=candidates[index−1], then skip the current element to avoid duplicate combinations.",,Got confused on why the duplicates needs to be skipped in the skip branch of recursion
RestoreIpAddress,Medium,Restore valid IP addresses from a string of digits.,"Backtracking, Recursion, String Partitioning","Use Backtracking/DFS to try partitioning the string into four parts. Each part must be a valid IP segment (length 1 to 3, value ≤255, and no leading zeros unless the segment is ""0""). The recursion depth is 4.",,
BasicCalculator2,Medium,"Implement a calculator supporting +, -, *, /.","Stack, Operator Precedence","Use a Stack to store numbers. Process multiplication and division immediately. For addition/subtraction, simply push the number (or its negative for subtraction) onto the stack. The final result is the sum of all elements in the stack.",2-Sep-2025,Got the basic approach of handling the / x before + - but faced issue in the stack type and character to number conversion
BasicCalculator3,Very Hard,"Implement a calculator supporting +, -, *, /, and parentheses.","Recursion, Stack, Operator Precedence","This is essentially Basic Calculator II logic nested with recursion for parentheses. Use a Stack to handle operator precedence (multiplication/division first). When an opening parenthesis '(' is encountered, make a recursive call to evaluate the sub-expression. When a closing parenthesis ')' is encountered, return the result of the current sub-expression.",15-Sep-2025,Very different from basic calculator 2. Didn't think of the recursive appraoch
MinimumRemoveToMakeValidParentheses,Hard,Check how many parentheses needs to be deleted to make parentheses balanced and valid.,"Stack, String Manipulation, Multiple Parenthesis Types","Use a Stack to track unclosed open parentheses. When a closing parenthesis is encountered, check if the stack top is the matching open parenthesis. The added complexity often involves matching two types of parentheses or a mix of stars and parentheses.",15-Sep-2025,Didn't understood question properly and faced issue in the approach
LruCacheTest,Hard,Implement an LRU (Least Recently Used) cache.,"Data Structure Design, Doubly Linked List, Hash Map",The O(1) complexity requires a data structure that allows O(1) look-up and O(1) deletion/insertion. Combine a HashMap (to store key → node address) with a Doubly Linked List (to store the usage order). The least recently used (LRU) item is always at the tail of the list.,15-Sep-2025,Tricky approach and difficult implementation
GasStation,Hard,Find starting gas station to complete circular route.,"Greedy, Array/Circular Array Traversal","The key is that if the total gas is ≥ total cost, a solution must exist. Start at index 0. Track a ‘current_balance‘. If ‘current_balance‘ becomes negative, reset the ‘current_balance‘ to 0 and set the start position to the next index.",,Unintuitive. Got confused on why we don't need to loop the array till the start of the trip.
Bipartite,Hard,Determine if a graph is bipartite.,"Graph Traversal (BFS/DFS), Coloring","A graph is bipartite if its nodes can be divided into two disjoint sets such that every edge connects a node in one set to one in the other. Use BFS or DFS to traverse the graph and color the nodes with two colors, ensuring adjacent nodes have different colors. Check all components.",,Had forgot the problem and the way to approach. Need to ensure that we are checking for all the subgraphs
MinimumMaxCostAfterKComponents,Hard,Minimize maximum cost after dividing into k components.,"Graph (MST), Kruskal's/Prim's Algorithm",This is a variation of the Minimum Spanning Tree (MST) problem. Kruskal's or Prim's algorithm finds the minimum total cost. The variation often involves finding the K largest or K smallest edges in the MST.,,"Forgot kurskal and Prim algo, need to revise"
IncreasingNDigitNumbers,,Count n-digit numbers with increasing digits.,,,,
LruCacheTest,Hard,Implement an LRU (Least Recently Used) cache.,"Data Structure Design, Doubly Linked List, Hash Map",(See previous entry for LruCacheTest). Combine a HashMap (key → node address) with a Doubly Linked List (usage order) for O(1) look-up and O(1) update/delete.,,Faced issue with the data structures to use
MinSubarraySum,Impossible,"GIven an interger array, find the sum of the minimum value of all possible contiguous subarrays.","Monotonic Stack, Contribution Technique",The contribution of A[i] to the total sum is A[i]×(number of subarrays where A[i] is the minimum). Use a Monotonic Stack to find the index of the nearest smaller element to the left and the nearest smaller element to the right of A[i].,,Unintuitive approach. Iterate through all the indices and find all the subarrays for which this woud be min. Then calculate the contirubtion of this index in the final result
MinStackClass,Medium,"Design a stack that supports push, pop, top, and retrieving minimum in O(1).","Stack, Auxiliary Storage","To achieve O(1) for ‘getMin‘, use an Auxiliary Stack to track the current minimum element at each state of the main stack. When pushing, push the new element to the main stack and min(new_element,current_min) to the auxiliary stack.",,"Difficulty with the approach. Forgot about min Stack, where I can store the minimums. Easy implementation"
LargestHistogram,Hard,Find largest rectangle in histogram.,"Monotonic Stack, Nearest Smaller Element","Use a Monotonic Increasing Stack to find, for each bar, the first smaller bar to the left and the first smaller bar to the right. These two indices define the maximum width for which the current bar is the height. The maximum area is max(height[i]×(right_index−left_index−1)).",,Difficult to think about the solution which uses monotonic stack. Code understanding is also difficult where while loop is created and finding the boundaries
NextGreaterElement,Medium,Find next greater element for each element in array.,"Monotonic Stack, Hash Map","Use a Monotonic Stack (decreasing order). Iterate through the second array nums2. When pushing an element, pop all smaller elements from the stack; the element being pushed is their Next Greater Element. Store the results in a HashMap.",,Easy to come up with the approach as previous questions with monotonic stack were practiced
NextGreaterElementII,Hard,Find next greater element in circular array.,"Monotonic Stack, Circular Array","This is the same as the non-circular version, but you need to simulate a circular array. This can be achieved by iterating through the array twice (or iterating once over the concatenated array nums+nums). The stack stores indices, and the array size is handled by indexmodN.",,Not intuitive approach
RemoveDuplicateRecursively,Medium,Remove consecutive duplicates recursively.,"Stack, Recursion/Iteration","Use a Stack (or a string/list used as a stack) to build the result. When processing the current character, check the top of the stack. If they match, pop (delete) until the duplicate sequence is cleared. If they don't match, push the current character.",,Easy to come up with the approach as previous questions with monotonic stack were practiced
SingleThreadCPU,Very Hard,"Given tasks with [enqueueTime, processingTime], simulate single-threaded CPU task scheduling which prefer to pick tasks with shortest processing time","Min-Heap, Greedy, Scheduling","Use two Min-Heaps. One to store available tasks (ordered by processing time, then index) and one to store pending tasks (ordered by enqueue time). At each step, move all tasks that have arrived (enqueue time ≤ current time) from the pending heap to the available heap. Then, greedily pick the task with the minimum processing time from the available heap.",,
NiceSubarray,Hard,Count number of nice subarrays. Nice subarray is subarray with exactly k odd numbers.,"Hash Map, Prefix Sum, Sliding Window",Replace odd numbers with 1 and even numbers with 0. The problem reduces to finding the number of subarrays with a sum equal to K. Use the Prefix Sum + HashMap technique (similar to SumSubarrayFinder).,,
QueueUsingStack,Hard,Implement a queue using stacks.,"Stack, Two Stacks","Use Two Stacks, ‘input_stack‘ and ‘output_stack‘. Push goes to the ‘input_stack‘. Pop and Peek check the ‘output_stack‘. If ‘output_stack‘ is empty, transfer all elements from ‘input_stack‘ to ‘output_stack‘ before popping/peeking.",,Using single stack is hard
ReversePolishNotation,Easy,Evaluate Reverse Polish Notation expression.,"Stack, Expression Evaluation","Use a Stack. Iterate through the expression. If the token is a number, push it onto the stack. If the token is an operator, pop the two operands, perform the operation, and push the result back onto the stack.",,
FirstNonRepeating,Easy,Find first non-repeating character in a string.,"Queue, Hash Map, Data Stream","Use a Queue to maintain the order of characters seen so far. Use a HashMap to store the frequency of each character. When a character is added, update its frequency in the map. Then, dequeue elements from the front of the queue until the element at the front has a frequency of 1 (or the queue is empty).",2-Sep-2025,Difficult approach. Didn't understand the correct data structures to be used. Forgot the ds linked hashmap and tree maps etc
LfuCacheTest,Impossible,Implement an LFU (Least Frequently Used) cache.,"Data Structure Design, Doubly Linked List, Hash Map","Use three maps: key→value, key→frequency, and frequency→keys. When a key’s frequency increases, move it to the next bucket; if the old bucket becomes empty and was the minimum, increment minFrequency. New keys always start at frequency 1, so minFrequency resets to 1.",15-Sep-2025,
ParenthesisChecker,Easy,Validate parentheses in an expression.,"Stack, String/Expression Validation","Use a Stack. Push open parentheses onto the stack. When a closing parenthesis is encountered, check if the stack is non-empty and the top of the stack is the matching open parenthesis; if so, pop. If not, the string is invalid. The stack must be empty at the end for the string to be valid.",,Easy solution and appraoch
MaxBinaryRectangle,Medium,Find maximal rectangle containing only 1s in binary matrix.,"Dynamic Programming, Monotonic Stack (Largest Histogram)","This problem reduces to the Largest Rectangle in Histogram problem for each row. DP State: height[j] is the number of consecutive 1's ending at matrix[i][j] in the column j. Iterate through each row, update the ‘height‘ array, and then apply the Monotonic Stack (Largest Histogram) solution on the ‘height‘ array.",,
IntersectionList,Hard,Find intersection point of two linked lists.,"Two Pointers, Linked List","Use Two Pointers, ptrA starting at headA and ptrB starting at headB. When a pointer reaches ‘null‘, redirect it to the head of the other list (e.g., ptrA goes to headB). After at most two full traversals, the pointers will either meet at the intersection node or both will be ‘null‘ (if there is no intersection).",3-Sep-2025,Approach of solution without finding length is tricky
SwapPairs,Impossible,Swap every two adjacent nodes in a linked list.,"Linked List, Iterative/Recursive Reversal","Use a Dummy Node to handle the head. Use an iterative approach with three pointers: ‘prev‘, ‘first‘, and ‘second‘. The key is updating ‘prev‘. ‘prev‘.next points to ‘second‘, ‘first‘.next points to ‘second‘.next, and ‘second‘.next points to ‘first‘. Then ‘prev‘ moves to ‘first‘.",16-Sep-2025,really hard to understand the pointers movement
ReverseNodesInKGroup,Impossible,Reverse nodes in k-group in a linked list.,"Linked List, Iterative Reversal, Grouping","Use a Dummy Node. Use a helper function or recursive logic to reverse a sublist of size K. Before reversing, check if there are at least K nodes remaining. The key is correctly connecting the tail of the reversed group to the head of the next group, and the ‘prev‘ node to the head of the reversed group.",16-Sep-2025,
LinkedList,Easy,Implement basic linked list operations.,"Linked List, Node Manipulation","Basic operations involve traversing, inserting, and deleting nodes. Remember to handle the head and tail cases, and use a prev pointer for deletions.",,
RotateList,Easy,Rotate a linked list to the right by k places.,"Linked List, Cycle/Tail Manipulation","First, find the length L. Then, normalize k as k=kmodL. Connect the tail to the head to form a ring. The new head is at position L−k. Break the ring at the node just before the new head.",,
MiddleElement,Easy,Find middle element of a linked list.,"Linked List, Two Pointers (Slow/Fast)","Use the Slow and Fast Pointers technique. The ‘slow‘ pointer moves by 1, and the ‘fast‘ pointer moves by 2. When ‘fast‘ reaches the end, ‘slow‘ will be at the middle of the list.",,
ReverseLinkedList,Hard,Reverse a singly linked list.,"Linked List, Iterative Reversal","Use Three Pointers: ‘prev‘ (starts at null), ‘curr‘ (starts at head), and ‘next_node‘. In a loop, set ‘curr‘.next=‘prev‘, update ‘prev‘=‘curr‘, and ‘curr‘=‘next_node‘.",,Faced difficulty in follow up of reverse in group
ReverseLinkedListII,Very Hard,Reverse a linked list from position m to n.,"Linked List, Sublist Reversal","Use a Dummy Node. Traverse to the node before the start position (m). Mark this as ‘prev‘. Then, perform the standard iterative reversal on the sublist from m to n, keeping track of the tail (‘m_node‘). The key is reconnecting the list: ‘prev‘.next=new_head (which is the node at n), and ‘m_node‘.next=node_after_n.",,
PalindromeList,Hard,Check if a linked list is a palindrome.,"Linked List, Reversal, Two Pointers","1) Find the middle of the list using Slow/Fast Pointers. 2) Reverse the second half of the list. 3) Compare the first half and the reversed second half element by element. 4) (Optional, but good practice) Reverse the second half back to restore the original list.",,Have multiple questions together
InsertSortedCircularLinkedList,Hard,Insert a value into a sorted circular linked list.,"Linked List, Circular, Case Analysis",Case Analysis is crucial: 1) The new node is inserted between two nodes where node.val≤insertVal≤node.next.val. 2) The list is empty or has one element. 3) The new node has the minimum/maximum value (requires traversing the list to find the tail/max element).,,Have multiple cases
ReverseListInKGroup,Hard,Reverse linked list in groups of k.,"Linked List, Sublist Reversal, Grouping","(Same as ReverseNodesInKGroup) The key is managing the connection pointers. Use a Dummy Node. Reverse a sublist of size K and connect the previous node to the new head, and the tail of the reversed group to the next un-reversed node.",,
OddEvenLinkedList,Hard,Group odd and even positioned nodes together.,"Linked List, Two Pointers, Splitting","Use Two Pointers (‘odd‘ and ‘even‘ heads) to split the list into two separate lists: one for odd-indexed nodes and one for even-indexed nodes. Finally, connect the tail of the odd list to the head of the even list.",,
SnapshotArray,Very Hard,"Implement a snapshot array supporting set(index, value), snap(), and get(index, snapshotId) operations.","Custom Data Structure, Persistent Array, Map of Maps","Create complex datastructure containing Map<Index, TreeMap<SnapId, Value>> to store the value snapshot wise. Another variable `snapId` to get the current snapshot id",,
CreateExpression,Easy,Create an expression that evaluates to a target value.,"Backtracking, Recursion, Expression Generation","Use Backtracking/DFS. Recursively try adding ’+’, ’-’, or ’*’, or appending the current digit to the number formed so far. The recursion terminates when all digits are used.",,
MaximalString,Medium,Find lexicographically largest string after k swaps.,"Backtracking, String Manipulation, Swapping","Use Backtracking/DFS. The depth of the recursion is k (the max number of swaps). At each step, iterate through all possible pairs of indices (i,j) where string[i]<string[j], swap them, and recurse. Only track the maximum string found.",,
GuessingGame,Medium,Implement a number guessing game.,"Binary Search, Search Space Reduction","Since the API gives a hint (-1,0,1), use Binary Search to quickly converge on the correct number, continuously halving the range [low,high].",,
GuessingGame2,Hard,Find minimum amount of money to guarantee a win in guessing game.,"Dynamic Programming, MiniMax, Game Theory","DP State: dp[i][j] is the minimum guaranteed cost to win the game when the range of possible numbers is [i,j]. Recurrence: dp[i][j]=mink=ij​(k+max(dp[i][k−1],dp[k+1][j])). The guess k incurs a cost of k plus the cost of the worst-case subsequent game (max of left or right subproblems).",,
MaxEvents,Hard,Maximize number of events you can attend.,"Greedy, Sorting, Min-Heap","Greedy Approach: Sort the events by their start day. Iterate through the days from 1 to the maximum end day. On each day, first, add all events that start on that day to a Min-Heap (ordered by their end day). Then, greedily attend the event from the heap that ends earliest.",,Could not understand greedy approach will work here
MaxResourceAccess,Medium,Maximize resource access with given constraints.,Sliding Window,"Group all access timestamps by resource. For each resource, sort its timestamps and use a sliding window (two pointers) to find the maximum number of accesses within any 5-minute window",,
RemoveParenthesis,Very Hard,Remove minimum invalid parentheses.,"BFS, String Validation, Minimizing Deletions","Use BFS on strings. The states are the strings generated by removing one parenthesis at a time. The first level where a valid parenthesis string is found, all strings at that level are the result (minimizing deletions).",,
PermutationGenerator,Hard,Generate all permutations of an array.,"Backtracking, Recursion, Itertools","Use Backtracking/DFS. The key is to swap the current element with all elements to its right to generate new permutations. Alternatively, use a boolean/set to track used elements.",,
Subset,Hard,Generate all subsets of a set.,"Backtracking/Iteration, Bit Manipulation","Iterative: Start with an empty set. For each number in the input, create a new subset by adding the current number to all existing subsets. Bit Manipulation: Iterate from 0 to 2N−1. Each number's binary representation corresponds to a subset, where the i-th bit being set means the i-th element is included.",22-Sep-2025,Iterative approach is hard
Subset2,Hard,Generate all subsets avoiding duplicates.,"Backtracking/Recursion, Duplicate Handling","Sort the input array first. Use Backtracking/DFS. The critical step is to skip duplicates: if index>start and nums[index]=nums[index−1], then continue to the next iteration to prevent duplicate subsets.",22-Sep-2025,Little bit difficult to come up with this
NQueen2,Impossible,Count number of solutions to N-Queens problem.,"Backtracking, Bit Manipulation","Bitwise Optimization: Instead of a boolean array/set for columns and diagonals, use three integers (bitmasks): ‘col‘, ‘diag1‘ (row+col), and ‘diag2‘ (row−col). Use bitwise operations to check and mark occupied positions in O(1).",,Bitwise approach required more study
Permutation,Medium,Generate all permutations of distinct integers.,"Backtracking, Recursion","Use Backtracking/DFS. At each step, iterate through the elements. If an element is not used, add it to the current permutation, mark it as used, and recurse. Backtrack by unmarking and removing.",3-Sep-2025,
Permutation2,Medium,Generate all permutations with possible duplicates.,"Backtracking, Recursion, Duplicate Handling","Sort the array first. Use Backtracking/DFS. When iterating through the elements, if the current element is the same as the previous one AND the previous one was not used (meaning it was already processed in the loop at the same level), skip the current element to avoid duplicate permutations.",3-Sep-2025,
GrayCode,Very Hard,Generate n-bit Gray code sequence.,"Bit Manipulation, Pattern Recognition","The k-th Gray Code can be calculated directly as k⊕(k/2) or k⊕(k≫1). Alternatively, use a recursive pattern: Gray(n) is Gray(n−1) followed by the reverse of Gray(n−1) with a 1 prepended to each element.",,Bitwise approach required more study
WordPattern2,Hard,Check if a string follows a given pattern with full bijection.,"Backtracking, String Partitioning, Hash Map",Use Backtracking/DFS. Try every possible split of the string s into a word that maps to the current character in pattern. Use HashMap for pattern_char→word to ensure a one-to-one mapping.,,Not intuitive
EqualSumSubsetPartition,Hard,Partition array into two subsets with equal sum.,"Dynamic Programming, Subset Sum",This problem reduces to finding if there exists a subset that sums to total_sum/2. DP State: dp[s] is true if a subset with sum s exists. The total sum must be even.,,
KthPermutation,Impossible,Find the kth permutation sequence.,"Math, Factorial Number System","Use the Factorial Number System (or Cantor Expansion) to directly calculate the k-th permutation. At each step, divide k by (N−i)! to find the index of the digit to pick from the remaining pool of numbers.",,
NQueen,Medium,Solve the N-Queens puzzle.,"Backtracking, Recursion, Constraint Tracking","Use Backtracking/DFS. Place one queen per row. For each cell (row,col), check if a queen is already placed in the same column, main diagonal (row−col), or anti-diagonal (row+col).",,"Easy approach, faced some issue with diagonal/anti-diagonal"
KnightInChessBoard,Medium,Find minimum moves for knight to reach destination on chessboard.,"BFS, Shortest Path in Unweighted Graph","Since the movement cost is uniform (1 per move), the shortest path is found using Breadth-First Search (BFS). The states are the (row,col) coordinates, and the transitions are the eight possible knight moves.",,Got bit confused with BFS and DP. Easy to implement after that
SnakeLadder,Medium,Find minimum moves to reach end of snake and ladder board.,"BFS, Shortest Path in Graph",Treat the board as a graph. The shortest path in an unweighted graph is found by BFS. The nodes are the squares. The edges are the dice rolls (1 to 6). Snakes/Ladders are direct edges. Use a ‘visited‘ set to prevent cycles and re-processing.,,Got bit confused with the revisited cells. Easy to implement after that
SmallestMultiple,Impossible,Find smallest multiple of a number with only 0s and 1s.,"BFS, Modulo Arithmetic, Shortest Path",The state is ‘remainder‘ (modulo a target number N). The initial state is 1(modN). The transitions are multiplying by 10 (appending 0) or multiplying by 10 and adding 1 (appending 1). Use BFS to find the shortest sequence of 0's and 1's that reaches the state 0(modN).,,
ShortestBridge,Hard,Find shortest bridge connecting two islands.,"BFS, Multi-Source BFS, Two BFS Layers",Two-stage BFS: 1) Use DFS or BFS to find and mark all cells belonging to the first island. 2) Use a Multi-Source BFS starting from all cells of the first island to find the shortest distance to a cell of the second island. The distance (number of 0s traversed) is the number of flips.,,
MinBuses,Very Hard,"Given a list of bus routes [startPoint, stops ... , endPoint] and back to startPoint. Find minimum number of buses required to travel from a source stop to a destination stop","BFS, Graph, Stops/Bus Routes","This is a Shortest Path problem in a specialized graph. The nodes are the bus stops. The edges represent travelling between stops on a bus route. The challenge is that the ""cost"" is the number of buses taken. The state in BFS should be (‘stop‘, ‘buses_taken‘) or use a set of unseen bus routes to avoid cycles.",19-Sep-2025,
MakeLargeIsland,Hard,Make largest island by changing at most one 0 to 1.,"DFS/BFS, Union-Find, Component Sizing","1) Use DFS/BFS to find all connected components (islands) and calculate the size of each. Store the size in a Map with the component ID. 2) Iterate over all 0 cells. For each 0, check its 4 neighbors. Sum the unique island sizes of its neighbors. The max sum +1 (for the 0 itself) is the answer.",,
GoodNodesPath,Medium,Count good paths in a tree.,"Tree Traversal (DFS), Max Value Tracking","Use DFS (pre-order traversal). Pass the maximum value seen so far on the path from the root to the current node as an argument to the recursive function. A node is a ""good node"" if its value is ≥ the max value passed down.",,
MaxInvitations,Impossible,Maximize meeting invitations where guests are seated in circular table with favorite person sitting next to them,"Graph (Directed), Cycle Detection, Topological Sort",This is a graph problem with cycles. The max length is from either: 1) A 2-node cycle (A→B→A) plus the longest paths leading into those two nodes. 2) The maximum length of a single cycle of length ≥3.,21-Sep-2025,
ReconstructItinerary,Hard,Reconstruct itinerary from list of tickets.,"Graph (Directed), Euler Path/Circuit, Hierholzer's Algorithm","This is an Eulerian Path problem. Use DFS and a Priority Queue (Min-Heap) for the adjacency list to ensure lexicographical order. The result must be built backwards from the recursive calls. The path is formed by visiting all edges, and the stack/list is built on the way back up the recursion.",,
WaterFlow,Medium,Find cells where water can flow to both Pacific and Atlantic oceans.,"DFS/BFS, Multi-Source Traversal, Grid",The water can flow to the Pacific if there is a path from the cell to the top row or left column. Similarly for the Atlantic (bottom row or right column). Use Two separate DFS/BFS traversals starting from all cells bordering the Pacific and all cells bordering the Atlantic. A cell is the answer if it is reachable by both traversals.,,
CourseSchedule2,Medium,Find order to finish all courses given prerequisites.,"Topological Sort, Graph (Directed), BFS (Kahn's Algorithm)","Use Topological Sort (Kahn's Algorithm with BFS). 1) Calculate the in-degree of all nodes. 2) Initialize a queue with all nodes having an in-degree of 0. 3) While the queue is not empty, dequeue a node, add it to the result, and decrement the in-degree of all its neighbors. If a neighbor's in-degree reaches 0, enqueue it.",,
TicTacToeEndStates,Medium,Count valid end states of Tic-Tac-Toe.,"Game Theory, MiniMax/BFS (State Generation)","Analyze all possible Tic-Tac-Toe states reachable from an empty board. For a given board, check if it's a valid end state (by checking the number of X's vs O's) and then check for win conditions (row, column, diagonal).",,
TopologicalSort,Hard,Perform topological sort on a directed acyclic graph.,"Graph (Directed Acyclic), BFS/DFS","Use either BFS (Kahn's Algorithm) or DFS. BFS is generally preferred for its simplicity in implementation: track in-degrees, and use a queue for 0-in-degree nodes. DFS uses a recursive function and a ‘visited‘ status (unvisited, visiting, visited) to detect cycles.",,
PossibleRecipesFromSupplies,Hard,Find all recipes that can be created from given supplies.,"Topological Sort, Graph (Directed), Dependency",This is a Topological Sort problem. Create a graph where an ingredient is a dependency for a recipe. The nodes are recipes and supplies. Calculate the in-degree of each recipe (number of required ingredients). Use BFS starting from the initial ‘supplies‘ to unlock recipes (by reducing their in-degree).,,
MinimizeMaximumComponentCost,Very Hard,Minimize maximum cost among components.,"Binary Search on Answer, Graph (MST/Connectivity)",Use Kruskal Algorithm,,
MinimumArrowsToBurstBalloons,Hard,Find minimum arrows to burst all balloons.,"Greedy, Sorting, Interval Merging",This is a Greedy approach similar to interval merging. Sort the balloons by their end coordinate. Iterate through the sorted balloons. The current arrow must be placed at the end coordinate of the last burst balloon to maximize the number of subsequent balloons it can burst.,,
WordLadder2,Impossible,Find all shortest transformation sequences from start to end word.,"BFS, DFS, Graph, Shortest Path",Two-stage approach: 1) Use BFS to find the shortest distance from ‘beginWord‘ to all other words. This acts as a pruning step. 2) Use DFS (Backtracking) starting from ‘beginWord‘ to find all paths to ‘endWord‘ that are exactly the length found in the BFS.,21-Sep-2025,
OptimalAccountBalancing,Impossible,Minimize number of transactions to settle debts.,"Backtracking, Minimizing Transactions",1) Calculate the net balance for each person (how much they need to receive/pay). 2) This reduces to a Subset Sum or Partition problem. Use Backtracking/DFS to find the minimum number of transactions to zero out all balances. The state is the list of non-zero balances.,21-Sep-2025,
MinCostPath,Medium,Find minimum cost path in a grid from top-left to bottom-right.,"Dynamic Programming, Grid Traversal","DP State: dp[i][j] is the minimum cost to reach cell (i,j) from the top-left corner. Recurrence: dp[i][j]=grid[i][j]+min(dp[i−1][j],dp[i][j−1]).",,Easy to understand after creating graph notes
PathWithMinimumEffort,Hard,Find minEffortRequired to go from top left to bottom right. Effort of path is absolute max difference in height between 2 cells,,,,
CommutableIslands,Medium,Find minimum cost to connect all islands.,"Graph (MST), Kruskal's/Prim's Algorithm","This is a standard Minimum Spanning Tree (MST) problem. Use Kruskal's Algorithm with Union-Find to greedily add edges (bridges) in increasing order of weight, as long as they don't form a cycle.",,
LargestDistanceNodes,Hard,Find largest distance (no of edges) between any two nodes in a tree.,"Graph (Tree), Two BFS/DFS Traversals",The longest path in a tree (the diameter) is found with Two Traversals: 1) Run BFS/DFS from an arbitrary node A to find the farthest node B. 2) Run BFS/DFS from node B to find the farthest node C. The path from B to C is the diameter.,,
MaximalNetworkRank,Medium,Find maximal network rank of any two different cities.,"Graph, Adjacency Matrix/List","The network rank of two cities (A,B) is degree(A)+degree(B)−is_connected(A,B). Iterate over all pairs of cities (A,B), calculate their rank, and find the maximum.",,
AlienDictionary,Hard,Derive order of characters in alien language from sorted words.,"Topological Sort, Graph (Directed)","The lexicographical order from the words implies a set of directed edges (charA→charB) where A must come before B. Build a directed graph from these constraints. Then, run Topological Sort (Kahn's BFS or DFS) to find the valid character order.",,
CheapestFlightWithStops,Medium,Find cheapest flight with at most k stops.,"BFS (Modified), Bellman-Ford/Dijkstra (Modified)","This is a Shortest Path problem with a constraint on the number of edges (stops). Use a modified BFS or Bellman-Ford algorithm. The BFS state needs to track the number of stops (‘cost‘, ‘stops‘, ‘city‘) to ensure the K stops limit is not exceeded.",,
CurrencyConversion,Medium,Convert currency using given exchange rates.,"Graph (Directed, Weighted), DFS/Floyd-Warshall","This is a Shortest Path problem in a directed, weighted graph where weights are exchange rates. Use Floyd-Warshall to find all-pairs shortest paths, or a series of DFS/BFS traversals from a source to find the conversion factor.",,Forgot Dijkstra algo
ShortestDistance,Very Hard,"In a binary matrix, find shortest distance from each 1 to nearest 0",BFS,Use multi source BFS from all the zeroes,,Not able to come up with approach and problem in dijkstra algo
CourseSchedule,Hard,Determine if you can finish all courses given prerequisites.,"Topological Sort, Cycle Detection, Graph (Directed)","This reduces to cycle detection in a directed graph. A cycle means a course dependency is circular (e.g., A→B→A), making it impossible to finish. Use DFS with three states (unvisited, visiting, visited) to detect a back edge (cycle).",,
MaxAreaIsland,Easy,Find maximum area of island in a grid.,"DFS/BFS, Grid Traversal, Component Sizing",Use DFS or BFS to explore the connected component of 1's starting from an unvisited 1. Recursively/iteratively count the number of cells in the island. Keep track of the maximum size found.,,
NumberOfIslands,Easy,Count number of islands in a grid.,"DFS/BFS, Grid Traversal, Component Counting","Use DFS or BFS. Iterate over the grid. When a 1 is found, increment the counter and start a traversal (DFS/BFS) from that cell to mark all connected 1's as visited (or change them to 0).",,
CaptureRegions,Easy,Capture all regions surrounded by X in a board.,"DFS/BFS, Grid Traversal, Border-based Traversal","The only ’O’ regions that cannot be flipped are those connected to the border. Use DFS or BFS starting from all ’O’ cells on the border (first/last row/column) to mark all connected $\text{'O'}$s as safe ($\text{'#'}$). Finally, iterate through the grid: flip ’O’ to ’X’, and flip $\text{'#'}$ back to ’O’.",,
FibonacciSum,Medium,Find sum of Fibonacci numbers.,"Greedy, Fibonacci Numbers","This uses a property of Fibonacci numbers (Zeckendorf's theorem). Use a greedy approach: start with the largest Fibonacci number ≤k, subtract it from k, and repeat on the remainder.",,
UsefulExtraEdges,Very Hard,Find useful extra edges to add to a graph.,"Dijkstra's Algorithm, Multiple Shortest Paths","Run Dijkstra from the start node (S) to all nodes, and again from the end node (E) to all nodes on the reversed graph. Check each extra edge (u,v): if the path dist(S→u)+weight(u,v)+dist(v→E) is less than the current minimum, it's useful.",,
HighestRatedItem,Medium,Find highest rated item from a list.,"BFS, Grid Traversal, Custom Sorting","This is a Multi-Stage BFS and sorting problem. 1) Use BFS to find the shortest distance to all reachable items. 2) Store all reachable items as a tuple (‘distance‘, ‘price‘, ‘row‘, ‘col‘) and then sort this list using the custom criteria.",,
ShortestPath,Easy,Find shortest path between two nodes.,"BFS, Unweighted Graph",The shortest path in an unweighted graph is found using Breadth-First Search (BFS). The distance of a node is its ‘level‘ in the BFS tree.,,
